alpha,Lambda,FpoFs
#alpha=  -0
  -0,0.4648, 0.000065271680
  -0,0.4448, 0.000050924780
  -0,0.4258, 0.000039494618
  -0,0.4083, 0.000029688836
  -0,0.3871, 0.000032074408
  -0,0.3621, 0.000039082630
  -0,0.3370, 0.000026606101
  -0,0.3120, 0.000020687162
  -0,0.2870, 0.000014174632


